id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	quinquennial	decennium	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
SB_M_216	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	PAUL BERENBERG (JR.)	LM & PJ	"PAUL BERENBERG (JR.)", "LM & PJ"	1672	1670-1674	1670-1679	1628	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE		MALE	MULT	MALE-MULT
SB_M_217	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	LM & PJ	"STEVEN DE GEER", "LM & PJ"	1672	1670-1674	1670-1679	1629	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE		MALE	MULT	MALE-MULT
SB_M_22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	ARNOLD RULAND	CM	"ARNOLD RULAND", "CM"	1668	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_222	1.63	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	HENDRIK CLETCHER	LM	"HENDRIK CLETCHER", "LM"	1674	1670-1674	1670-1679	1623	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	14	MALE	FEMALE	MALE-FEMALE
SB_M_223	19.66	0.00	0.00	4.91	0.00	4.91	9.83	0.00	0.00	0.00	9.83	9.83	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	CLAUS BENE	LM	"CLAUS BENE", "LM"	1675	1675-1679	1670-1679	UNK	1637	1640-1680	1600-1640	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_224	1.63	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	LM	"STEVEN DE GEER", "LM"	1675	1675-1679	1670-1679	1629	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	8	MALE	FEMALE	MALE-FEMALE
SB_M_226	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	LM	"STEVEN DE GEER", "LM"	1675	1675-1679	1670-1679	1629	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	8	MALE	FEMALE	MALE-FEMALE
SB_M_23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	PETER CAULIER	CM	"PETER CAULIER", "CM"	1668	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_230	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	HENDRIK CLETCHER	LM	"HENDRIK CLETCHER", "LM"	1675	1675-1679	1670-1679	1623	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	14	MALE	FEMALE	MALE-FEMALE
SB_M_231	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & HENDRIK VAN BAERLE	LM	"JEAN & HENDRIK VAN BAERLE", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_233	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	LM	"STEVEN DE GEER", "LM"	1675	1675-1679	1670-1679	1629	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	8	MALE	FEMALE	MALE-FEMALE
SB_M_235	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	CLAUS BENE	LM	"CLAUS BENE", "LM"	1675	1675-1679	1670-1679	UNK	1637	1640-1680	1600-1640	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_236	22.25	0.00	0.00	0.00	0.00	0.00	0.00	22.25	0.00	0.00	0.00	22.25	0.00	0.00	0.00	FAMILY	TIMOTHY LANNOY & JOHN BURKIN	LM	"TIMOTHY LANNOY & JOHN BURKIN", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_237	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	HENDRIK CLETCHER	LM	"HENDRIK CLETCHER", "LM"	1675	1675-1679	1670-1679	1623	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	14	MALE	FEMALE	MALE-FEMALE
SB_M_238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	LM	"JOHAN ARNOLDT FONCK", "LM"	1676	1675-1679	1670-1679	UNK	1637	UNK	1600-1640	FALSE	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_239	1.83	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	ANDREAS BERENBERG'S WIDOW	LM	"ANDREAS BERENBERG'S WIDOW", "LM"	1676	1675-1679	1670-1679	1604	1637	1600-1640	1600-1640	UNK	TRUE	FALSE	TRUE	33	MALE	FEMALE	MALE-FEMALE
SB_M_24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	BUSINESS; AGENT	WILLIAM SKINNER	CM	"WILLIAM SKINNER", "CM"	1668	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_242	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	LM	"JOHAN ARNOLDT FONCK", "LM"	1675	1675-1679	1670-1679	UNK	1637	UNK	1600-1640	TRUE	UNK	FALSE	UNK		FEMALE	FEMALE	FEMALE-FEMALE
SB_M_243	9.83	0.00	0.00	0.00	0.00	4.91	4.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	CLAUS BENE	LM	"CLAUS BENE", "LM"	1675	1675-1679	1670-1679	UNK	1637	1640-1680	1600-1640	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	HENDRIK CLETCHER	LM	"HENDRIK CLETCHER", "LM"	1675	1675-1679	1670-1679	1623	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	14	MALE	FEMALE	MALE-FEMALE
SB_M_249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	FREDERICK & GODSCHALL	LM	"FREDERICK & GODSCHALL", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_250	2.34	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	FREDERICK & GODSCHALL	LM	"FREDERICK & GODSCHALL", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & HENDRIK VAN BAERLE	LM	"JEAN & HENDRIK VAN BAERLE", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	3.66	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	LM	"JOHAN ARNOLDT FONCK", "LM"	1675	1675-1679	1670-1679	UNK	1637	UNK	1600-1640	FALSE	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	PETER CAULIER	JD	"PETER CAULIER", "JD"	1675	1675-1679	1670-1679	UNK	1640	UNK	1640-1680	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_258	2.34	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	FREDERICK & GODSCHALL	LM	"FREDERICK & GODSCHALL", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & DAVID VAN BAERLE	CM	"JEAN & DAVID VAN BAERLE", "CM"	1668	1665-1669	1660-1669	MULT	1633	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_263	1.83	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	1.83	0.00	1.83	1.83	BUSINESS; CLIENT	CLAUS BENE	JD	"CLAUS BENE", "JD"	1675	1675-1679	1670-1679	UNK	1640	1640-1680	1640-1680	FALSE	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_264	1.83	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	1.83	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	JD	"JOHAN ARNOLDT FONCK", "JD"	1675	1675-1679	1670-1679	UNK	1640	UNK	1640-1680	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_265	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	22.25	FAMILY	TIMOTHY LANNOY & JOHN BURKIN	LM	"TIMOTHY LANNOY & JOHN BURKIN", "LM"	1675	1675-1679	1670-1679	MULT	1637	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_266	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	WILLEM MOMMA	LM	"WILLEM MOMMA", "LM"	1675	1675-1679	1670-1679	1601	1637	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE	36	MALE	FEMALE	MALE-FEMALE
SB_M_268	1.83	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	JD	"JOHAN ARNOLDT FONCK", "JD"	1675	1675-1679	1670-1679	UNK	1640	UNK	1640-1680	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	JD	"STEVEN DE GEER", "JD"	1676	1675-1679	1670-1679	1629	1640	1600-1640	1640-1680	TRUE	TRUE	FALSE	FALSE	11	MALE	MALE	MALE-MALE
SB_M_27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	WILLIAM SKINNER	CM	"WILLIAM SKINNER", "CM"	1668	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_271	2.34	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	BUSINESS; AGENT	DAVID VAN BAERLE	LM	"DAVID VAN BAERLE", "LM"	1675	1675-1679	1670-1679	UNK	1637	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_272	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	BUSINESS; AGENT	JEAN & HENDRIK VAN BAERLE	JD	"JEAN & HENDRIK VAN BAERLE", "JD"	1676	1675-1679	1670-1679	MULT	1640	UNK	1640-1680	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_273	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	JD	"STEVEN DE GEER", "JD"	1676	1675-1679	1670-1679	1629	1640	1600-1640	1640-1680	TRUE	TRUE	FALSE	FALSE	11	MALE	MALE	MALE-MALE
