id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
290	73.96	0.00	0.00	0.00	0.00	73.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
115	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
119	33.58	0.00	33.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.58	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
120	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
121	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
124	33.58	0.00	33.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.58	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
132	33.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
140	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
215	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JAMES WIGHTMAN", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
141	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
176	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"JOHN JAYE", "SAMUEL JEAKE JR"	UNK	FALSE	UNK	UNK	MALE-MALE	EXTENDED FAMILY
